Roll Number,Block,Plan,Unit,Civic Address,Street Name,Zoning,Description Code,Description,Assessment Improvement Value,Assessment Land Value,Assessment Other Value,Assessment Year,Assessment Total Value,Poll Division,Poll Division Name,Voting Station,Latitude,Longitude
0312002705,312,C4533,105,111,MOYLE DR,,101,Residential,"97,440.00","15,240.00",0,2015,"112,680.00",2,Weledeh,École St. Patrick High School,62.46617874,-114.3747658
0312002704,312,C4533,104,111,MOYLE DR,,101,Residential,"126,910.00","22,390.00",0,2015,"149,300.00",2,Weledeh,École St. Patrick High School,62.46618418,-114.3750548
0312002703,312,C4533,103,111,MOYLE DR,,101,Residential,"126,910.00","22,390.00",0,2015,"149,300.00",2,Weledeh,École St. Patrick High School,62.4661228,-114.3749247
0312002702,312,C4533,102,111,MOYLE DR,,101,Residential,"121,370.00","21,040.00",0,2015,"142,410.00",2,Weledeh,École St. Patrick High School,62.46613829,-114.3751923
0312002701,312,C4533,101,111,MOYLE DR,,101,Residential,"135,660.00","22,800.00",0,2015,"158,460.00",2,Weledeh,École St. Patrick High School,62.46607184,-114.3750631
0312002654,312,C4456,204,115,MOYLE DR,,101,Residential,"170,850.00","6,770.00",0,2015,"177,620.00",2,Weledeh,École St. Patrick High School,62.46642811,-114.3735759
0312002653,312,C4456,203,115,MOYLE DR,,101,Residential,"170,890.00","6,770.00",0,2015,"177,660.00",2,Weledeh,École St. Patrick High School,62.46636668,-114.3734683
0312002652,312,C4456,202,115,MOYLE DR,,101,Residential,"170,890.00","6,770.00",0,2015,"177,660.00",2,Weledeh,École St. Patrick High School,62.46648587,-114.373173
0312002651,312,C4456,201,115,MOYLE DR,,101,Residential,"170,230.00","6,770.00",0,2015,"177,000.00",2,Weledeh,École St. Patrick High School,62.46655614,-114.3733079
0312002650,312,C4456,104,115,MOYLE DR,,101,Residential,"197,890.00","6,770.00",0,2015,"204,660.00",2,Weledeh,École St. Patrick High School,62.46646224,-114.3736216
0312002649,312,C4456,103,115,MOYLE DR,,101,Residential,"197,850.00","6,770.00",0,2015,"204,620.00",2,Weledeh,École St. Patrick High School,62.46639118,-114.3735072
0312002648,312,C4456,102,115,MOYLE DR,,101,Residential,"197,850.00","6,770.00",0,2015,"204,620.00",2,Weledeh,École St. Patrick High School,62.46651678,-114.373237
0312002647,312,C4456,101,115,MOYLE DR,,101,Residential,"189,320.00","6,770.00",0,2015,"196,090.00",2,Weledeh,École St. Patrick High School,62.46657836,-114.3733522
